date,total_orders,new_orders,new_customers,total_revenue,gross_profit,COGS,total_mkt_impression,total_mkt_clicks,total_mkt_spend,total_mkt_attributed_revenue,ROAS,CPM,CPC,CTR,Gross_Profit_Margin,AOV,CAC,%_Attributed_Revenue
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,4941478,125323,40107.26,110281.84999999999,274.9673001845551,8.116450179480713,0.32003111958698727,2.536144044352722,52.28108622733534,97.06808727569332,40.55334681496461,46.33477997545911
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,5045054,124233,41682.96,114401.63,274.4565884956347,8.262143477552469,0.33552244572698076,2.462471164827968,56.281425378782465,103.12305568338702,54.77392904073587,51.05246458508861
2025-05-18,2749,1275,1192,226582.57,128282.08,98300.49,5257187,125364,42959.17,123677.58,287.89564602854296,8.171512635940095,0.34267548897610156,2.384621281305002,56.61604067779794,82.423634048745,36.03957214765101,54.583889661062635
2025-05-19,2060,1012,960,203540.86,100212.05,103328.81,4768188,115391,39938.04,111469.36,279.1057347831791,8.375936519281538,0.3461105285507535,2.420017834867249,49.23436503117851,98.8062427184466,41.602125,54.765102201101044
2025-05-20,1791,910,908,188081.24,115962.11,72119.13,4811244,109106,33217.76,92178.22,277.49679689419156,6.904193593174655,0.30445401719428816,2.267729510288815,61.655330430616054,105.01465103294248,36.58343612334802,49.00978959943055
2025-05-21,2874,934,872,251286.55,123962.87,127323.68,5187524,122433,42801.14,118069.09,275.8550122730376,8.250783996372837,0.3495882646018639,2.3601432976502856,49.33127937010556,87.43442936673625,49.08387614678899,46.985837483144245
2025-05-22,1704,848,842,186182.97,99768.23,86414.74,5060508,120066,35114.58,98498.49,280.5059607718503,6.938943679172131,0.2924606466443456,2.372607651247661,53.586120148368025,109.26230633802817,41.70377672209026,52.904135109671955
2025-05-23,2745,1268,1177,243080.55,130791.92,112288.63,4776312,118195,38269.09,107060.0,279.75580292084294,8.012267624058058,0.3237792630821946,2.474608023931435,53.80599969845387,88.5539344262295,32.51409515717927,44.04301372528571
2025-05-24,3096,1097,1060,282268.06,174043.94,108224.12,5464877,130748,47081.29,127327.49,270.4418039522706,8.615251541800484,0.3600918560895769,2.3925149641977304,61.65909809278457,91.17185400516796,44.416311320754716,45.10871332732439
2025-05-25,2254,1023,1041,227809.53,114404.11,113405.42,4742807,111296,38483.8,105963.92,275.3468212598548,8.114140001901829,0.34577882403680277,2.3466272188600548,50.2191940784918,101.06900177462289,36.968107588856874,46.51426127783152
